Team,Round,Date,Year,Total Points
Carlton,R11,29/5/2022,2022,11.9
Carlton,R11,30/5/2021,2021,11.12
Carlton,R11,31/5/2014,2014,13.13
Carlton,R11,4/6/2016,2016,16.6
Carlton,R11,7/6/2013,2013,10.12
Carlton,R11,8/6/2012,2012,11.19
Carlton,R11,9/8/2020,2020,7.8
Carlton,R12,11/6/2017,2017,10.11
Carlton,R12,12/6/2016,2016,12.6
Carlton,R12,14/6/2012,2012,10.9
Carlton,R12,14/6/2013,2013,13.9
Carlton,R12,15/8/2020,2020,5.1
Carlton,R12,2/6/2023,2023,6.8
Carlton,R12,20/6/2015,2015,17.8
Carlton,R12,6/6/2014,2014,15.12
Carlton,R12,6/6/2021,2021,10.13
Carlton,R12,8/6/2019,2019,11.12
Carlton,R13,10/6/2022,2022,12.8
Carlton,R13,11/6/2023,2023,6.16
Carlton,R13,13/6/2014,2014,13.12
Carlton,R13,15/6/2019,2019,15.1
Carlton,R13,16/6/2018,2018,6.1
Carlton,R13,17/6/2017,2017,12.11
Carlton,R13,21/8/2020,2020,7.18
Carlton,R13,28/6/2015,2015,14.19
Carlton,R14,16/6/2022,2022,9.12
Carlton,R14,18/6/2023,2023,18.12
Carlton,R14,19/6/2021,2021,9.12
Carlton,R14,22/6/2014,2014,14.8
Carlton,R14,24/6/2018,2018,9.5
Carlton,R14,25/6/2016,2016,9.11
Carlton,R14,25/6/2017,2017,8.1
Carlton,R14,28/6/2013,2013,5.13
Carlton,R14,29/6/2012,2012,10.1
Carlton,R14,30/8/2020,2020,7.6
Carlton,R14,4/7/2015,2015,7.11
Carlton,R15,1/7/2017,2017,12.5
Carlton,R15,10/7/2015,2015,5.11
Carlton,R15,2/7/2016,2016,6.9
Carlton,R15,25/6/2022,2022,12.9
Carlton,R15,27/6/2021,2021,12.11
Carlton,R15,29/6/2014,2014,11.1
Carlton,R15,3/9/2020,2020,5.9
Carlton,R15,30/6/2018,2018,10.9
Carlton,R15,30/6/2019,2019,11.13
Carlton,R15,5/7/2013,2013,12.5
Carlton,R15,6/7/2012,2012,12.13
Carlton,R16,1/7/2022,2022,10.18
Carlton,R16,10/7/2016,2016,7.5
Carlton,R16,13/7/2012,2012,14.12
Carlton,R16,13/7/2013,2013,16.14
Carlton,R16,18/7/2015,2015,8.5
Carlton,R16,2/7/2023,2023,17.1
Carlton,R16,3/7/2021,2021,12.8
Carlton,R16,6/7/2014,2014,24.7
Carlton,R16,7/7/2018,2018,7.13
Carlton,R16,7/7/2019,2019,15.1
Carlton,R16,8/9/2020,2020,8.9
Carlton,R16,9/7/2017,2017,12.1
Carlton,R17,10/7/2021,2021,5.14
Carlton,R17,10/7/2022,2022,17.14
Carlton,R17,12/7/2014,2014,7.9
Carlton,R17,13/7/2018,2018,7.1
Carlton,R17,13/7/2019,2019,9.15
Carlton,R17,13/9/2020,2020,8.8
Carlton,R17,16/7/2017,2017,9.8
Carlton,R17,17/7/2016,2016,11.9
Carlton,R17,19/7/2013,2013,16.13
Carlton,R17,21/7/2012,2012,16.6
Carlton,R17,24/7/2015,2015,4.11
Carlton,R17,9/7/2023,2023,14.14
Carlton,R18,1/8/2015,2015,8.6
Carlton,R18,15/7/2023,2023,18.14
Carlton,R18,16/7/2022,2022,8.7
Carlton,R18,18/7/2014,2014,16.13
Carlton,R18,18/7/2021,2021,13.13
Carlton,R18,19/9/2020,2020,10.1
Carlton,R18,20/7/2019,2019,15.9
Carlton,R18,22/7/2018,2018,7.1
Carlton,R18,23/7/2016,2016,10.8
Carlton,R18,23/7/2017,2017,11.16
Carlton,R18,27/7/2013,2013,16.24
Carlton,R18,28/7/2012,2012,14.11
Carlton,R19,22/7/2023,2023,21.14
Carlton,R19,24/7/2021,2021,11.11
Carlton,R19,24/7/2022,2022,13.12
Carlton,R19,27/7/2019,2019,13.9
Carlton,R19,28/7/2018,2018,12.7
Carlton,R19,29/7/2017,2017,8.1
Carlton,R19,3/8/2013,2013,12.8
Carlton,R19,30/7/2016,2016,7.13
Carlton,R19,31/7/2014,2014,11.12
Carlton,R19,5/8/2012,2012,10.11
Carlton,R19,8/8/2015,2015,13.9
Carlton,R2,10/4/2015,2015,9.8
Carlton,R2,13/6/2020,2020,7.11
Carlton,R2,2/4/2017,2017,9.1
Carlton,R2,23/3/2023,2023,13.12
Carlton,R2,24/3/2022,2022,16.6
Carlton,R2,25/3/2021,2021,13.7
Carlton,R2,27/3/2014,2014,12.14
Carlton,R2,3/4/2016,2016,10.11
Carlton,R2,30/3/2019,2019,11.6
Carlton,R2,31/3/2018,2018,9.13
Carlton,R2,5/4/2012,2012,23.16
Carlton,R2,7/4/2013,2013,15.1
Carlton,R20,10/8/2013,2013,13.11
Carlton,R20,11/8/2012,2012,17.11
Carlton,R20,15/8/2015,2015,9.13
Carlton,R20,28/7/2023,2023,14.9
Carlton,R20,30/7/2021,2021,18.4
Carlton,R20,30/7/2022,2022,8.7
Carlton,R20,4/8/2019,2019,11.9
Carlton,R20,5/8/2017,2017,11.1
Carlton,R20,5/8/2018,2018,7.4
Carlton,R20,7/8/2016,2016,7.9
Carlton,R20,9/8/2014,2014,14.13
Carlton,R21,11/8/2019,2019,6.9
Carlton,R21,12/8/2017,2017,12.11
Carlton,R21,12/8/2018,2018,10.12
Carlton,R21,13/8/2016,2016,13.17
Carlton,R21,15/8/2014,2014,11.1
Carlton,R21,17/8/2013,2013,16.1
Carlton,R21,18/8/2012,2012,24.12
Carlton,R21,23/8/2015,2015,12.6
Carlton,R21,6/8/2023,2023,10.13
Carlton,R21,7/8/2021,2021,8.9
Carlton,R21,7/8/2022,2022,12.9
Carlton,R22,12/8/2023,2023,9.6
Carlton,R22,13/8/2022,2022,10.14
Carlton,R22,14/8/2021,2021,5.15
Carlton,R22,17/8/2019,2019,11.12
Carlton,R22,19/8/2017,2017,12.5
Carlton,R22,19/8/2018,2018,7.7
Carlton,R22,21/8/2016,2016,11.12
Carlton,R22,22/8/2014,2014,5.7
Carlton,R22,24/8/2013,2013,9.22
Carlton,R22,25/8/2012,2012,11.2
Carlton,R22,29/8/2015,2015,7.9
Carlton,R23,19/8/2023,2023,13.13
Carlton,R23,2/9/2012,2012,12.19
Carlton,R23,21/8/2021,2021,11.9
Carlton,R23,21/8/2022,2022,10.14
Carlton,R23,24/8/2019,2019,8.13
Carlton,R23,25/8/2018,2018,8.13
Carlton,R23,26/8/2017,2017,8.9
Carlton,R23,27/8/2016,2016,10.19
Carlton,R23,30/8/2014,2014,14.6
Carlton,R23,31/8/2013,2013,15.14
Carlton,R23,5/9/2015,2015,8.8
Carlton,R24,27/8/2023,2023,11.7
Carlton,R3,1/4/2023,2023,9.2
Carlton,R3,13/4/2012,2012,18.14
Carlton,R3,13/4/2013,2013,15.13
Carlton,R3,18/4/2015,2015,11.18
Carlton,R3,20/6/2020,2020,12.7
Carlton,R3,3/4/2022,2022,11.8
Carlton,R3,4/4/2021,2021,16.13
Carlton,R3,6/4/2014,2014,8.9
Carlton,R3,6/4/2018,2018,11.1
Carlton,R3,6/4/2019,2019,10.14
Carlton,R3,9/4/2016,2016,5.11
Carlton,R3,9/4/2017,2017,7.15
Carlton,R4,10/4/2021,2021,9.16
Carlton,R4,10/4/2022,2022,8.14
Carlton,R4,12/4/2014,2014,7.16
Carlton,R4,14/4/2018,2018,4.6
Carlton,R4,14/4/2019,2019,8.9
Carlton,R4,15/4/2017,2017,12.1
Carlton,R4,16/4/2016,2016,7.7
Carlton,R4,20/4/2013,2013,12.17
Carlton,R4,21/4/2012,2012,11.13
Carlton,R4,25/4/2015,2015,18.13
Carlton,R4,27/6/2020,2020,7.1
Carlton,R4,7/4/2023,2023,16.11
Carlton,R5,1/5/2015,2015,6.9
Carlton,R5,13/4/2023,2023,9.8
Carlton,R5,17/4/2021,2021,9.14
Carlton,R5,17/4/2022,2022,14.1
Carlton,R5,2/7/2020,2020,8.7
Carlton,R5,20/4/2014,2014,18.11
Carlton,R5,21/4/2017,2017,6.11
Carlton,R5,21/4/2018,2018,10.9
Carlton,R5,21/4/2019,2019,15.11
Carlton,R5,24/4/2016,2016,10.12
Carlton,R5,27/4/2012,2012,10.5
Carlton,R5,27/4/2013,2013,17.13
Carlton,R6,1/5/2016,2016,10.12
Carlton,R6,10/5/2015,2015,11.9
Carlton,R6,12/7/2020,2020,16.7
Carlton,R6,23/4/2022,2022,9.8
Carlton,R6,23/4/2023,2023,8.12
Carlton,R6,24/4/2021,2021,12.13
Carlton,R6,26/4/2014,2014,14.8
Carlton,R6,27/4/2018,2018,8.11
Carlton,R6,28/4/2019,2019,13.1
Carlton,R6,29/4/2017,2017,15.7
Carlton,R6,5/5/2013,2013,18.13
Carlton,R6,6/5/2012,2012,15.2
Carlton,R7,13/5/2013,2013,9.14
Carlton,R7,14/5/2012,2012,14.14
Carlton,R7,16/5/2015,2015,9.3
Carlton,R7,19/7/2020,2020,9.7
Carlton,R7,2/5/2014,2014,10.1
Carlton,R7,2/5/2021,2021,19.9
Carlton,R7,29/4/2023,2023,23.14
Carlton,R7,30/4/2022,2022,17.12
Carlton,R7,5/5/2018,2018,10.1
Carlton,R7,5/5/2019,2019,8.14
Carlton,R7,6/5/2017,2017,12.7
Carlton,R7,7/5/2016,2016,15.9
Carlton,R8,11/5/2019,2019,13.9
Carlton,R8,12/5/2014,2014,15.11
Carlton,R8,12/5/2018,2018,14.7
Carlton,R8,13/5/2017,2017,10.6
Carlton,R8,15/5/2016,2016,14.9
Carlton,R8,19/5/2013,2013,16.13
Carlton,R8,20/5/2012,2012,8.7
Carlton,R8,22/5/2015,2015,9.9
Carlton,R8,25/7/2020,2020,9.1
Carlton,R8,5/5/2023,2023,11.8
Carlton,R8,8/5/2022,2022,17.14
Carlton,R8,9/5/2021,2021,13.13
Carlton,R9,13/5/2023,2023,8.11
Carlton,R9,15/5/2022,2022,15.15
Carlton,R9,16/5/2021,2021,10.8
Carlton,R9,19/5/2019,2019,7.3
Carlton,R9,20/5/2018,2018,7.8
Carlton,R9,21/5/2016,2016,6.1
Carlton,R9,21/5/2017,2017,7.9
Carlton,R9,25/5/2013,2013,13.2
Carlton,R9,27/5/2012,2012,15.17
Carlton,R9,29/5/2015,2015,9.8
Carlton,R9,31/7/2020,2020,9.4
Carlton,SF,14/9/2013,2013,8.14
Carlton,SF,15/9/2023,2023,11.7
Collingwood,EF,3/10/2020,2020,12.4
Collingwood,EF,7/9/2013,2013,9.9
Collingwood,GF,29/9/2018,2018,11.8
Collingwood,GF,30/9/2023,2023,12.18
Collingwood,PF,17/9/2022,2022,14.1
Collingwood,PF,21/9/2012,2012,10.1
Collingwood,PF,21/9/2018,2018,15.7
Collingwood,PF,21/9/2019,2019,7.1
Collingwood,PF,22/9/2023,2023,8.1
Collingwood,QF,3/9/2022,2022,10.12
Collingwood,QF,6/9/2019,2019,9.7
Collingwood,QF,7/9/2012,2012,15.7
Collingwood,QF,7/9/2023,2023,9.6
Collingwood,QF,8/9/2018,2018,10.1
Collingwood,R1,14/3/2014,2014,5.16
Collingwood,R1,17/3/2023,2023,19.11
Collingwood,R1,18/3/2022,2022,15.12
Collingwood,R1,19/3/2021,2021,7.11
Collingwood,R1,20/3/2020,2020,13.8
Collingwood,R1,22/3/2019,2019,9.11
Collingwood,R1,24/3/2017,2017,12.14
Collingwood,R1,24/3/2018,2018,9.13
Collingwood,R1,26/3/2016,2016,7.11
Collingwood,R1,30/3/2012,2012,16.19
Collingwood,R1,31/3/2013,2013,15.13
Collingwood,R1,4/4/2015,2015,12.14
Collingwood,R10,21/5/2023,2023,13.7
Collingwood,R10,22/5/2022,2022,12.8
Collingwood,R10,23/5/2021,2021,8.1
Collingwood,R10,24/5/2014,2014,17.7
Collingwood,R10,24/5/2019,2019,11.14
Collingwood,R10,25/5/2018,2018,13.12
Collingwood,R10,28/5/2017,2017,18.21
Collingwood,R10,29/5/2016,2016,7.11
Collingwood,R10,3/6/2012,2012,23.11
Collingwood,R10,31/5/2013,2013,14.16
Collingwood,R10,6/8/2020,2020,6.14
Collingwood,R10,8/6/2015,2015,17.8
Collingwood,R11,1/6/2019,2019,11.9
Collingwood,R11,10/6/2013,2013,17.2
Collingwood,R11,11/6/2012,2012,19.15
Collingwood,R11,11/8/2020,2020,10.2
Collingwood,R11,14/6/2015,2015,18.11
Collingwood,R11,28/5/2023,2023,16.9
Collingwood,R11,29/5/2021,2021,6.15
Collingwood,R11,29/5/2022,2022,11.13
Collingwood,R11,3/6/2018,2018,21.12
Collingwood,R11,30/5/2014,2014,21.14
Collingwood,R11,4/6/2017,2017,15.15
Collingwood,R11,5/6/2016,2016,7.16
Collingwood,R12,10/6/2019,2019,15.8
Collingwood,R12,11/6/2018,2018,20.13
Collingwood,R12,12/6/2017,2017,15.1
Collingwood,R12,13/6/2016,2016,8.1
Collingwood,R12,15/8/2020,2020,6.8
Collingwood,R12,16/6/2013,2013,15.9
Collingwood,R12,3/6/2023,2023,18.12
Collingwood,R12,5/6/2021,2021,12.6
Collingwood,R12,5/6/2022,2022,10.12
Collingwood,R12,9/6/2014,2014,8.13
Collingwood,R13,12/6/2023,2023,9.8
Collingwood,R13,13/6/2022,2022,12.1
Collingwood,R13,14/6/2021,2021,11.14
Collingwood,R13,15/6/2014,2014,15.8
Collingwood,R13,23/6/2012,2012,12.13
Collingwood,R13,24/8/2020,2020,10.5
Collingwood,R13,25/6/2015,2015,11.7
Collingwood,R14,21/6/2014,2014,13.8
Collingwood,R14,23/6/2019,2019,13.4
Collingwood,R14,24/6/2016,2016,12.13
Collingwood,R14,24/6/2017,2017,9.8
Collingwood,R14,24/6/2018,2018,11.13
Collingwood,R14,29/6/2013,2013,7.9
Collingwood,R14,3/7/2015,2015,12.19
Collingwood,R14,30/6/2012,2012,15.17
Collingwood,R14,30/8/2020,2020,10.12
Collingwood,R15,2/7/2016,2016,8.9
Collingwood,R15,2/7/2017,2017,14.1
Collingwood,R15,25/6/2023,2023,12.1
Collingwood,R15,26/6/2021,2021,12.7
Collingwood,R15,26/6/2022,2022,11.22
Collingwood,R15,29/6/2014,2014,13.13
Collingwood,R15,29/6/2019,2019,5.7
Collingwood,R15,30/6/2018,2018,14.15
Collingwood,R15,4/9/2020,2020,5.4
Collingwood,R15,5/7/2013,2013,17.16
Collingwood,R15,6/7/2012,2012,8.14
Collingwood,R15,9/7/2015,2015,9.9
Collingwood,R16,1/7/2023,2023,18.12
Collingwood,R16,12/7/2013,2013,17.9
Collingwood,R16,14/7/2012,2012,17.8
Collingwood,R16,18/7/2015,2015,7.14
Collingwood,R16,2/7/2022,2022,9.13
Collingwood,R16,4/7/2021,2021,8.13
Collingwood,R16,5/7/2014,2014,10.15
Collingwood,R16,5/7/2019,2019,9.9
Collingwood,R16,8/7/2017,2017,12.8
Collingwood,R16,8/7/2018,2018,12.6
Collingwood,R16,9/7/2016,2016,19.11
Collingwood,R17,11/7/2021,2021,13.9
Collingwood,R17,12/7/2019,2019,11.12
Collingwood,R17,13/7/2014,2014,5.9
Collingwood,R17,14/9/2020,2020,10.8
Collingwood,R17,15/7/2017,2017,15.13
Collingwood,R17,15/7/2018,2018,9.13
Collingwood,R17,16/7/2016,2016,10.9
Collingwood,R17,20/7/2013,2013,11.12
Collingwood,R17,21/7/2012,2012,13.13
Collingwood,R17,26/7/2015,2015,13.8
Collingwood,R17,7/7/2023,2023,13.11
Collingwood,R17,9/7/2022,2022,13.1
Collingwood,R18,1/8/2015,2015,7.12
Collingwood,R18,15/7/2023,2023,18.5
Collingwood,R18,16/7/2022,2022,14.7
Collingwood,R18,18/7/2021,2021,9.8
Collingwood,R18,20/7/2019,2019,11.9
Collingwood,R18,21/7/2018,2018,20.1
Collingwood,R18,21/9/2020,2020,7.3
Collingwood,R18,22/7/2016,2016,12.12
Collingwood,R18,23/7/2017,2017,13.15
Collingwood,R18,27/7/2013,2013,15.16
Collingwood,R18,27/7/2014,2014,12.1
Collingwood,R18,28/7/2012,2012,26.18
Collingwood,R19,22/7/2023,2023,13.7
Collingwood,R19,23/7/2021,2021,10.9
Collingwood,R19,24/7/2022,2022,12.8
Collingwood,R19,26/7/2019,2019,9.12
Collingwood,R19,28/7/2018,2018,12.5
Collingwood,R19,3/8/2014,2014,11.1
Collingwood,R19,30/7/2016,2016,13.13
Collingwood,R19,30/7/2017,2017,15.13
Collingwood,R19,4/8/2012,2012,12.19
Collingwood,R19,4/8/2013,2013,20.13
Collingwood,R19,8/8/2015,2015,16.9
Collingwood,R2,1/4/2016,2016,13.9
Collingwood,R2,11/4/2015,2015,9.9
Collingwood,R2,11/6/2020,2020,5.6
Collingwood,R2,25/3/2021,2021,16.1
Collingwood,R2,25/3/2023,2023,21.9
Collingwood,R2,26/3/2022,2022,15.1
Collingwood,R2,28/3/2019,2019,17.8
Collingwood,R2,29/3/2014,2014,12.17
Collingwood,R2,30/3/2017,2017,11.14
Collingwood,R2,31/3/2018,2018,12.7
Collingwood,R2,7/4/2012,2012,12.13
Collingwood,R2,7/4/2013,2013,17.15
Collingwood,R20,10/8/2013,2013,14.16
Collingwood,R20,10/8/2014,2014,10.6
Collingwood,R20,11/8/2012,2012,12.6
Collingwood,R20,14/8/2015,2015,10.16
Collingwood,R20,28/7/2023,2023,10.16
Collingwood,R20,30/7/2022,2022,13.1
Collingwood,R20,31/7/2021,2021,14.6
Collingwood,R20,4/8/2018,2018,10.11
Collingwood,R20,4/8/2019,2019,18.12
Collingwood,R20,5/8/2016,2016,11.11
Collingwood,R20,5/8/2017,2017,16.15
Collingwood,R21,10/8/2019,2019,10.1
Collingwood,R21,11/8/2018,2018,14.2
Collingwood,R21,12/8/2016,2016,14.8
Collingwood,R21,13/8/2017,2017,10.11
Collingwood,R21,16/8/2013,2013,12.12
Collingwood,R21,16/8/2014,2014,8.8
Collingwood,R21,18/8/2012,2012,8.13
Collingwood,R21,22/8/2015,2015,7.14
Collingwood,R21,5/8/2022,2022,15.6
Collingwood,R21,5/8/2023,2023,11.7
Collingwood,R21,8/8/2021,2021,12.6
Collingwood,R22,11/8/2023,2023,16.13
Collingwood,R22,14/8/2021,2021,8.9
Collingwood,R22,14/8/2022,2022,7.8
Collingwood,R22,17/8/2019,2019,17.12
Collingwood,R22,18/8/2018,2018,17.13
Collingwood,R22,19/8/2017,2017,9.5
Collingwood,R22,20/8/2016,2016,16.22
Collingwood,R22,23/8/2013,2013,15.11
Collingwood,R22,23/8/2014,2014,11.9
Collingwood,R22,25/8/2012,2012,8.1
Collingwood,R22,28/8/2015,2015,17.8
Collingwood,R23,1/9/2012,2012,14.2
Collingwood,R23,1/9/2013,2013,17.12
Collingwood,R23,18/8/2023,2023,15.1
Collingwood,R23,21/8/2022,2022,11.9
Collingwood,R23,22/8/2021,2021,9.1
Collingwood,R23,23/8/2019,2019,10.16
Collingwood,R23,25/8/2018,2018,11.1
Collingwood,R23,26/8/2017,2017,14.15
Collingwood,R23,28/8/2016,2016,17.9
Collingwood,R23,29/8/2014,2014,8.8
Collingwood,R23,6/9/2015,2015,14.8
Collingwood,R24,25/8/2023,2023,16.5
Collingwood,R3,1/4/2021,2021,11.6
Collingwood,R3,13/4/2012,2012,9.8
Collingwood,R3,14/4/2013,2013,13.12
Collingwood,R3,17/4/2015,2015,21.14
Collingwood,R3,2/4/2022,2022,13.13
Collingwood,R3,20/6/2020,2020,12.9
Collingwood,R3,31/3/2023,2023,8.15
Collingwood,R3,5/4/2014,2014,11.1
Collingwood,R3,6/4/2018,2018,16.4
Collingwood,R3,6/4/2019,2019,11.1
Collingwood,R3,7/4/2017,2017,11.14
Collingwood,R3,9/4/2016,2016,14.6
Collingwood,R4,10/4/2021,2021,9.6
Collingwood,R4,11/4/2014,2014,16.14
Collingwood,R4,12/4/2019,2019,11.12
Collingwood,R4,13/4/2018,2018,16.1
Collingwood,R4,16/4/2017,2017,7.13
Collingwood,R4,17/4/2016,2016,9.13
Collingwood,R4,20/4/2013,2013,16.17
Collingwood,R4,21/4/2012,2012,14.13
Collingwood,R4,25/4/2015,2015,9.15
Collingwood,R4,26/6/2020,2020,9.1
Collingwood,R4,6/4/2023,2023,11.17
Collingwood,R4,9/4/2022,2022,10.14
Collingwood,R5,1/5/2015,2015,18.12
Collingwood,R5,14/4/2022,2022,14.7
Collingwood,R5,16/4/2021,2021,11.1
Collingwood,R5,16/4/2023,2023,10.1
Collingwood,R5,18/4/2019,2019,18.15
Collingwood,R5,19/4/2014,2014,13.15
Collingwood,R5,25/4/2012,2012,11.14
Collingwood,R5,25/4/2013,2013,10.15
Collingwood,R5,25/4/2016,2016,22.1
Collingwood,R5,25/4/2017,2017,11.16
Collingwood,R5,25/4/2018,2018,14.17
Collingwood,R5,3/7/2020,2020,7.6
Collingwood,R6,1/5/2016,2016,9.8
Collingwood,R6,10/7/2020,2020,8.11
Collingwood,R6,25/4/2014,2014,12.11
Collingwood,R6,25/4/2019,2019,10.13
Collingwood,R6,25/4/2021,2021,13.7
Collingwood,R6,25/4/2022,2022,15.3
Collingwood,R6,25/4/2023,2023,13.12
Collingwood,R6,29/4/2018,2018,10.1
Collingwood,R6,3/5/2013,2013,15.13
Collingwood,R6,30/4/2017,2017,15.17
Collingwood,R6,4/5/2012,2012,15.8
Collingwood,R6,8/5/2015,2015,8.11
Collingwood,R7,1/5/2021,2021,7.13
Collingwood,R7,1/5/2022,2022,17.13
Collingwood,R7,11/5/2013,2013,10.13
Collingwood,R7,12/5/2012,2012,17.14
Collingwood,R7,16/7/2020,2020,8.9
Collingwood,R7,17/5/2015,2015,15.1
Collingwood,R7,2/5/2014,2014,14.2
Collingwood,R7,3/5/2019,2019,15.18
Collingwood,R7,30/4/2023,2023,8.11
Collingwood,R7,6/5/2017,2017,8.8
Collingwood,R7,6/5/2018,2018,19.7
Collingwood,R7,7/5/2016,2016,12.12
Collingwood,R8,11/5/2019,2019,16.1
Collingwood,R8,13/5/2017,2017,15.9
Collingwood,R8,13/5/2018,2018,5.15
Collingwood,R8,14/5/2016,2016,20.23
Collingwood,R8,18/5/2012,2012,14.12
Collingwood,R8,18/5/2013,2013,15.12
Collingwood,R8,23/5/2015,2015,20.12
Collingwood,R8,26/7/2020,2020,6.9
Collingwood,R8,7/5/2022,2022,12.14
Collingwood,R8,7/5/2023,2023,11.11
Collingwood,R8,8/5/2021,2021,14.1
Collingwood,R9,13/5/2022,2022,7.9
Collingwood,R9,14/5/2023,2023,18.12
Collingwood,R9,15/5/2014,2014,7.13
Collingwood,R9,15/5/2021,2021,5.12
Collingwood,R9,18/5/2019,2019,17.1
Collingwood,R9,19/5/2018,2018,15.1
Collingwood,R9,2/8/2020,2020,7.7
Collingwood,R9,20/5/2017,2017,13.12
Collingwood,R9,21/5/2016,2016,16.8
Collingwood,R9,24/5/2013,2013,8.7
Collingwood,R9,26/5/2012,2012,10.15
Collingwood,R9,31/5/2015,2015,17.1
Collingwood,SF,10/10/2020,2020,5.2
Collingwood,SF,10/9/2022,2022,11.13
Collingwood,SF,15/9/2012,2012,10.13
Collingwood,SF,15/9/2018,2018,9.15
Essendon,EF,29/8/2021,2021,4.12
Essendon,EF,5/9/2019,2019,9.7
Essendon,EF,6/9/2014,2014,12.9
Essendon,EF,9/9/2017,2017,8.8
Essendon,R1,19/3/2022,2022,11.6
Essendon,R1,19/3/2023,2023,19.1
Essendon,R1,20/3/2021,2021,13.13
Essendon,R1,21/3/2014,2014,15.9
Essendon,R1,21/3/2020,2020,9.9
Essendon,R1,22/3/2013,2013,18.9
Essendon,R1,23/3/2018,2018,14.15
Essendon,R1,24/3/2019,2019,5.1
Essendon,R1,25/3/2017,2017,17.14
Essendon,R1,26/3/2016,2016,9.6
Essendon,R1,31/3/2012,2012,14.2
Essendon,R1,4/4/2015,2015,9.6
Essendon,R10,1/6/2013,2013,10.11
Essendon,R10,2/6/2012,2012,6.16
Essendon,R10,20/5/2023,2023,10.11
Essendon,R10,21/5/2022,2022,7.6
Essendon,R10,23/5/2021,2021,22.9
Essendon,R10,25/5/2019,2019,6.14
Essendon,R10,26/5/2018,2018,14.11
Essendon,R10,27/5/2017,2017,10.6
Essendon,R10,28/5/2016,2016,10.7
Essendon,R10,6/6/2015,2015,7.11
Essendon,R10,7/8/2020,2020,8.7
Essendon,R11,12/8/2020,2020,11.7
Essendon,R11,13/6/2015,2015,6.1
Essendon,R11,2/6/2018,2018,6.7
Essendon,R11,2/6/2019,2019,11.8
Essendon,R11,27/5/2023,2023,14.12
Essendon,R11,29/5/2021,2021,12.15
Essendon,R11,29/5/2022,2022,6.14
Essendon,R11,3/6/2017,2017,15.11
Essendon,R11,31/5/2014,2014,15.14
Essendon,R11,4/6/2016,2016,6.11
Essendon,R11,7/6/2013,2013,11.11
Essendon,R11,9/6/2012,2012,11.16
Essendon,R12,10/6/2016,2016,6.7
Essendon,R12,10/6/2017,2017,19.17
Essendon,R12,10/6/2018,2018,12.12
Essendon,R12,15/6/2013,2013,17.13
Essendon,R12,16/8/2020,2020,5.3
Essendon,R12,4/6/2023,2023,16.9
Essendon,R12,5/6/2021,2021,12.12
Essendon,R12,7/6/2014,2014,11.15
Essendon,R13,10/6/2022,2022,7.12
Essendon,R13,11/6/2023,2023,13.8
Essendon,R13,14/6/2019,2019,14.12
Essendon,R13,15/6/2014,2014,10.17
Essendon,R13,19/6/2016,2016,12.18
Essendon,R13,22/8/2020,2020,10.1
Essendon,R13,23/6/2012,2012,17.11
Essendon,R13,27/6/2015,2015,11.1
Essendon,R14,17/6/2022,2022,15.17
Essendon,R14,20/6/2019,2019,11.5
Essendon,R14,20/6/2021,2021,13.8
Essendon,R14,21/6/2014,2014,15.11
Essendon,R14,21/6/2018,2018,12.8
Essendon,R14,23/6/2017,2017,12.13
Essendon,R14,27/6/2013,2013,15.8
Essendon,R14,27/8/2020,2020,13.9
Essendon,R14,30/6/2012,2012,21.14
Essendon,R14,5/7/2015,2015,8.4
Essendon,R15,1/7/2018,2018,19.11
Essendon,R15,1/9/2020,2020,6.9
Essendon,R15,11/7/2015,2015,10.9
Essendon,R15,2/7/2017,2017,11.16
Essendon,R15,24/6/2022,2022,14.13
Essendon,R15,24/6/2023,2023,9.7
Essendon,R15,26/6/2021,2021,8.9
Essendon,R15,27/6/2014,2014,11.14
Essendon,R15,27/6/2019,2019,12.5
Essendon,R15,30/6/2016,2016,7.1
Essendon,R15,7/7/2012,2012,8.14
Essendon,R15,7/7/2013,2013,18.1
Essendon,R16,1/7/2023,2023,10.14
Essendon,R16,10/7/2016,2016,14.14
Essendon,R16,14/7/2012,2012,19.13
Essendon,R16,14/7/2013,2013,18.13
Essendon,R16,17/7/2015,2015,9.14
Essendon,R16,2/7/2021,2021,8.9
Essendon,R16,2/7/2022,2022,15.5
Essendon,R16,5/7/2014,2014,8.14
Essendon,R16,6/7/2019,2019,11.1
Essendon,R16,6/9/2020,2020,5.12
Essendon,R16,8/7/2017,2017,18.9
Essendon,R16,8/7/2018,2018,9.8
Essendon,R17,10/7/2022,2022,15.1
Essendon,R17,12/9/2020,2020,4.5
Essendon,R17,13/7/2014,2014,16.7
Essendon,R17,13/7/2019,2019,12.14
Essendon,R17,14/7/2017,2017,17.16
Essendon,R17,14/7/2018,2018,13.17
Essendon,R17,16/7/2016,2016,11.17
Essendon,R17,20/7/2012,2012,10.7
Essendon,R17,20/7/2013,2013,18.8
Essendon,R17,25/7/2015,2015,17.14
Essendon,R17,9/7/2021,2021,11.18
Essendon,R17,9/7/2023,2023,17.13
Essendon,R18,15/7/2023,2023,7.3
Essendon,R18,17/7/2022,2022,14.19
Essendon,R18,18/7/2021,2021,13.14
Essendon,R18,19/7/2019,2019,15.6
Essendon,R18,19/9/2020,2020,7.7
Essendon,R18,2/8/2015,2015,5.1
Essendon,R18,20/7/2014,2014,15.11
