Team,Round,Date,Year,Total Points,RoundOrder
Port Adelaide,R22,22/8/2014,2014,20.2,22
Richmond,R22,24/8/2014,2014,15.8,22
St Kilda,R22,24/8/2014,2014,10.12,22
Sydney,R22,24/8/2014,2014,20.1,22
West Coast,R22,23/8/2014,2014,18.11,22
Western Bulldogs,R22,24/8/2014,2014,9.13,22
Adelaide,R23,31/8/2014,2014,22.9,23
Brisbane Lions,R23,30/8/2014,2014,12.9,23
Carlton,R23,30/8/2014,2014,14.6,23
Collingwood,R23,29/8/2014,2014,8.8,23
Essendon,R23,30/8/2014,2014,13.12,23
Fremantle,R23,30/8/2014,2014,16.9,23
Geelong,R23,30/8/2014,2014,21.17,23
Gold Coast,R23,31/8/2014,2014,15.9,23
Greater Western Sydney,R23,31/8/2014,2014,18.7,23
Hawthorn,R23,29/8/2014,2014,18.13,23
Melbourne,R23,30/8/2014,2014,14.9,23
North Melbourne,R23,30/8/2014,2014,19.9,23
Port Adelaide,R23,30/8/2014,2014,14.13,23
Richmond,R23,30/8/2014,2014,10.8,23
St Kilda,R23,31/8/2014,2014,9.8,23
Sydney,R23,30/8/2014,2014,9.11,23
West Coast,R23,31/8/2014,2014,23.13,23
Western Bulldogs,R23,31/8/2014,2014,15.19,23
Essendon,EF,6/9/2014,2014,12.9,25
North Melbourne,EF,6/9/2014,2014,14.9,25
Port Adelaide,EF,7/9/2014,2014,20.12,25
Richmond,EF,7/9/2014,2014,11.9,25
Fremantle,QF,6/9/2014,2014,10.9,26
Geelong,QF,5/9/2014,2014,10.8,26
Hawthorn,QF,5/9/2014,2014,15.14,26
Sydney,QF,6/9/2014,2014,13.15,26
Fremantle,SF,13/9/2014,2014,11.17,27
Geelong,SF,12/9/2014,2014,13.14,27
North Melbourne,SF,12/9/2014,2014,14.14,27
Port Adelaide,SF,13/9/2014,2014,15.15,27
Hawthorn,PF,20/9/2014,2014,15.7,28
North Melbourne,PF,19/9/2014,2014,9.11,28
Port Adelaide,PF,20/9/2014,2014,13.16,28
Sydney,PF,19/9/2014,2014,19.22,28
Hawthorn,GF,27/9/2014,2014,21.11,29
Sydney,GF,27/9/2014,2014,11.8,29
Adelaide,R1,5/4/2015,2015,21.14,1
Brisbane Lions,R1,4/4/2015,2015,11.8,1
Carlton,R1,2/4/2015,2015,11.12,1
Collingwood,R1,4/4/2015,2015,12.14,1
Essendon,R1,4/4/2015,2015,9.6,1
Fremantle,R1,5/4/2015,2015,11.9,1
Geelong,R1,6/4/2015,2015,8.13,1
Gold Coast,R1,4/4/2015,2015,13.11,1
Greater Western Sydney,R1,5/4/2015,2015,12.15,1
Hawthorn,R1,6/4/2015,2015,17.21,1
Melbourne,R1,4/4/2015,2015,17.13,1
North Melbourne,R1,5/4/2015,2015,9.9,1
Port Adelaide,R1,5/4/2015,2015,10.8,1
Richmond,R1,2/4/2015,2015,15.15,1
St Kilda,R1,5/4/2015,2015,11.12,1
Sydney,R1,4/4/2015,2015,10.12,1
West Coast,R1,4/4/2015,2015,14.3,1
Western Bulldogs,R1,4/4/2015,2015,14.13,1
Adelaide,R2,11/4/2015,2015,12.18,2
Brisbane Lions,R2,12/4/2015,2015,7.9,2
Carlton,R2,10/4/2015,2015,9.8,2
Collingwood,R2,11/4/2015,2015,9.9,2
Essendon,R2,12/4/2015,2015,12.6,2
Fremantle,R2,12/4/2015,2015,15.14,2
Geelong,R2,12/4/2015,2015,9.6,2
Gold Coast,R2,11/4/2015,2015,10.16,2
Greater Western Sydney,R2,11/4/2015,2015,15.11,2
Hawthorn,R2,12/4/2015,2015,11.1,2
Melbourne,R2,11/4/2015,2015,8.8,2
North Melbourne,R2,12/4/2015,2015,20.13,2
Port Adelaide,R2,11/4/2015,2015,6.8,2
Richmond,R2,11/4/2015,2015,9.12,2
St Kilda,R2,11/4/2015,2015,16.8,2
Sydney,R2,11/4/2015,2015,14.8,2
West Coast,R2,10/4/2015,2015,20.11,2
Western Bulldogs,R2,11/4/2015,2015,12.13,2
Adelaide,R3,18/4/2015,2015,12.8,3
Brisbane Lions,R3,18/4/2015,2015,8.1,3
Carlton,R3,18/4/2015,2015,11.18,3
Collingwood,R3,17/4/2015,2015,21.14,3
Essendon,R3,18/4/2015,2015,16.9,3
Fremantle,R3,19/4/2015,2015,17.9,3
Geelong,R3,19/4/2015,2015,16.9,3
Gold Coast,R3,19/4/2015,2015,13.18,3
Greater Western Sydney,R3,18/4/2015,2015,12.18,3
Hawthorn,R3,19/4/2015,2015,19.13,3
Melbourne,R3,18/4/2015,2015,7.13,3
North Melbourne,R3,18/4/2015,2015,16.9,3
Port Adelaide,R3,18/4/2015,2015,17.11,3
Richmond,R3,18/4/2015,2015,21.11,3
St Kilda,R3,17/4/2015,2015,10.6,3
Sydney,R3,18/4/2015,2015,16.15,3
West Coast,R3,19/4/2015,2015,12.9,3
Western Bulldogs,R3,19/4/2015,2015,8.9,3
Adelaide,R4,26/4/2015,2015,10.8,4
Brisbane Lions,R4,26/4/2015,2015,9.11,4
Carlton,R4,25/4/2015,2015,18.13,4
Collingwood,R4,25/4/2015,2015,9.15,4
Essendon,R4,25/4/2015,2015,6.13,4
Fremantle,R4,25/4/2015,2015,11.8,4
Geelong,R4,26/4/2015,2015,9.13,4
Gold Coast,R4,25/4/2015,2015,7.11,4
Greater Western Sydney,R4,25/4/2015,2015,16.23,4
Hawthorn,R4,25/4/2015,2015,13.13,4
Melbourne,R4,24/4/2015,2015,12.11,4
North Melbourne,R4,26/4/2015,2015,12.11,4
Port Adelaide,R4,25/4/2015,2015,15.9,4
Richmond,R4,24/4/2015,2015,6.15,4
St Kilda,R4,25/4/2015,2015,12.9,4
Sydney,R4,25/4/2015,2015,8.12,4
West Coast,R4,26/4/2015,2015,17.16,4
Western Bulldogs,R4,26/4/2015,2015,18.17,4
Adelaide,R5,3/5/2015,2015,13.13,5
Brisbane Lions,R5,2/5/2015,2015,7.12,5
Carlton,R5,1/5/2015,2015,6.9,5
Collingwood,R5,1/5/2015,2015,18.12,5
Essendon,R5,3/5/2015,2015,11.16,5
Fremantle,R5,3/5/2015,2015,18.1,5
Geelong,R5,2/5/2015,2015,12.13,5
Gold Coast,R5,2/5/2015,2015,18.1,5
Greater Western Sydney,R5,2/5/2015,2015,4.9,5
Hawthorn,R5,2/5/2015,2015,19.16,5
Melbourne,R5,3/5/2015,2015,6.14,5
North Melbourne,R5,2/5/2015,2015,10.1,5
Port Adelaide,R5,3/5/2015,2015,18.7,5
Richmond,R5,2/5/2015,2015,11.1,5
St Kilda,R5,3/5/2015,2015,11.14,5
Sydney,R5,2/5/2015,2015,10.13,5
West Coast,R5,2/5/2015,2015,18.12,5
Western Bulldogs,R5,2/5/2015,2015,11.11,5
Adelaide,R6,9/5/2015,2015,18.11,6
Brisbane Lions,R6,10/5/2015,2015,12.12,6
Carlton,R6,10/5/2015,2015,11.9,6
Collingwood,R6,8/5/2015,2015,8.11,6
Essendon,R6,9/5/2015,2015,7.1,6
Fremantle,R6,9/5/2015,2015,12.8,6
Geelong,R6,8/5/2015,2015,15.1,6
Gold Coast,R6,9/5/2015,2015,11.12,6
Greater Western Sydney,R6,9/5/2015,2015,16.12,6
Hawthorn,R6,9/5/2015,2015,14.14,6
Melbourne,R6,9/5/2015,2015,7.8,6
North Melbourne,R6,9/5/2015,2015,16.13,6
Port Adelaide,R6,10/5/2015,2015,10.8,6
Richmond,R6,9/5/2015,2015,10.14,6
St Kilda,R6,9/5/2015,2015,14.1,6
Sydney,R6,9/5/2015,2015,12.16,6
West Coast,R6,10/5/2015,2015,11.12,6
Western Bulldogs,R6,9/5/2015,2015,13.9,6
Adelaide,R7,16/5/2015,2015,18.11,7
Brisbane Lions,R7,17/5/2015,2015,15.12,7
Carlton,R7,16/5/2015,2015,9.3,7
Collingwood,R7,17/5/2015,2015,15.1,7
Essendon,R7,15/5/2015,2015,12.1,7
Fremantle,R7,17/5/2015,2015,15.11,7
Geelong,R7,16/5/2015,2015,11.11,7
Gold Coast,R7,16/5/2015,2015,6.7,7
Greater Western Sydney,R7,16/5/2015,2015,19.21,7
Hawthorn,R7,16/5/2015,2015,24.11,7
Melbourne,R7,16/5/2015,2015,7.8,7
North Melbourne,R7,15/5/2015,2015,13.15,7
Port Adelaide,R7,17/5/2015,2015,8.17,7
Richmond,R7,17/5/2015,2015,16.9,7
St Kilda,R7,16/5/2015,2015,10.13,7
Sydney,R7,16/5/2015,2015,18.12,7
West Coast,R7,16/5/2015,2015,21.9,7
Western Bulldogs,R7,17/5/2015,2015,14.4,7
Adelaide,R8,23/5/2015,2015,12.12,8
Brisbane Lions,R8,24/5/2015,2015,12.6,8
Carlton,R8,22/5/2015,2015,9.9,8
Collingwood,R8,23/5/2015,2015,20.12,8
Essendon,R8,24/5/2015,2015,21.1,8
Fremantle,R8,23/5/2015,2015,17.13,8
Geelong,R8,22/5/2015,2015,22.8,8
Gold Coast,R8,23/5/2015,2015,9.9,8
Greater Western Sydney,R8,23/5/2015,2015,16.12,8
Hawthorn,R8,23/5/2015,2015,9.15,8
Melbourne,R8,24/5/2015,2015,15.13,8
North Melbourne,R8,23/5/2015,2015,5.12,8
Port Adelaide,R8,24/5/2015,2015,5.13,8
Richmond,R8,24/5/2015,2015,11.1,8
St Kilda,R8,23/5/2015,2015,12.6,8
Sydney,R8,23/5/2015,2015,11.7,8
West Coast,R8,23/5/2015,2015,20.11,8
Western Bulldogs,R8,24/5/2015,2015,9.1,8
Adelaide,R9,30/5/2015,2015,7.15,9
Brisbane Lions,R9,31/5/2015,2015,13.8,9
Carlton,R9,29/5/2015,2015,9.8,9
Collingwood,R9,31/5/2015,2015,17.1,9
Essendon,R9,30/5/2015,2015,8.11,9
Fremantle,R9,30/5/2015,2015,10.8,9
Geelong,R9,31/5/2015,2015,10.4,9
Gold Coast,R9,30/5/2015,2015,6.4,9
Greater Western Sydney,R9,30/5/2015,2015,11.2,9
Hawthorn,R9,30/5/2015,2015,14.9,9
Melbourne,R9,30/5/2015,2015,8.6,9
North Melbourne,R9,31/5/2015,2015,14.11,9
Port Adelaide,R9,30/5/2015,2015,18.7,9
Richmond,R9,30/5/2015,2015,10.12,9
St Kilda,R9,31/5/2015,2015,16.12,9
Sydney,R9,29/5/2015,2015,19.8,9
West Coast,R9,31/5/2015,2015,16.24,9
Western Bulldogs,R9,30/5/2015,2015,16.17,9
Adelaide,R10,6/6/2015,2015,14.15,10
Brisbane Lions,R10,7/6/2015,2015,10.7,10
Carlton,R10,6/6/2015,2015,14.6,10
Collingwood,R10,8/6/2015,2015,17.8,10
Essendon,R10,6/6/2015,2015,7.11,10
Fremantle,R10,5/6/2015,2015,10.1,10
Geelong,R10,6/6/2015,2015,19.8,10
Gold Coast,R10,6/6/2015,2015,5.11,10
Greater Western Sydney,R10,7/6/2015,2015,14.13,10
Hawthorn,R10,7/6/2015,2015,20.12,10
Melbourne,R10,8/6/2015,2015,13.7,10
North Melbourne,R10,7/6/2015,2015,13.7,10
Port Adelaide,R10,6/6/2015,2015,16.4,10
Richmond,R10,5/6/2015,2015,15.7,10
St Kilda,R10,7/6/2015,2015,10.9,10
Sydney,R10,6/6/2015,2015,13.15,10
West Coast,R10,7/6/2015,2015,10.15,10
Western Bulldogs,R10,6/6/2015,2015,9.8,10
Collingwood,R11,14/6/2015,2015,18.11,11
Essendon,R11,13/6/2015,2015,6.1,11
Fremantle,R11,13/6/2015,2015,6.17,11
Geelong,R11,12/6/2015,2015,14.8,11
Gold Coast,R11,13/6/2015,2015,7.4,11
Greater Western Sydney,R11,14/6/2015,2015,11.11,11
Melbourne,R11,14/6/2015,2015,12.11,11
North Melbourne,R11,13/6/2015,2015,10.15,11
Port Adelaide,R11,12/6/2015,2015,11.3,11
St Kilda,R11,14/6/2015,2015,12.13,11
Sydney,R11,13/6/2015,2015,14.7,11
West Coast,R11,13/6/2015,2015,14.12,11
Adelaide,R12,18/6/2015,2015,12.13,12
Brisbane Lions,R12,20/6/2015,2015,11.8,12
Carlton,R12,20/6/2015,2015,17.8,12
Geelong,R12,21/6/2015,2015,13.11,12
Greater Western Sydney,R12,20/6/2015,2015,8.13,12
Hawthorn,R12,18/6/2015,2015,17.12,12
Melbourne,R12,21/6/2015,2015,18.5,12
North Melbourne,R12,20/6/2015,2015,18.9,12
Port Adelaide,R12,20/6/2015,2015,16.1,12
Richmond,R12,19/6/2015,2015,10.1,12
West Coast,R12,19/6/2015,2015,13.12,12
Western Bulldogs,R12,20/6/2015,2015,22.14,12
Adelaide,R13,27/6/2015,2015,11.16,13
Brisbane Lions,R13,27/6/2015,2015,10.9,13
Carlton,R13,28/6/2015,2015,14.19,13
Collingwood,R13,25/6/2015,2015,11.7,13
Essendon,R13,27/6/2015,2015,11.1,13
Fremantle,R13,25/6/2015,2015,12.8,13
Gold Coast,R13,28/6/2015,2015,9.15,13
Hawthorn,R13,27/6/2015,2015,16.18,13
Richmond,R13,26/6/2015,2015,14.11,13
St Kilda,R13,27/6/2015,2015,7.14,13
Sydney,R13,26/6/2015,2015,11.11,13
Western Bulldogs,R13,27/6/2015,2015,9.8,13
Brisbane Lions,R14,5/7/2015,2015,7.6,14
Carlton,R14,4/7/2015,2015,7.11,14
Collingwood,R14,3/7/2015,2015,12.19,14
Essendon,R14,5/7/2015,2015,8.4,14
Fremantle,R14,5/7/2015,2015,13.6,14
Gold Coast,R14,4/7/2015,2015,19.11,14
Greater Western Sydney,R14,4/7/2015,2015,10.9,14
Hawthorn,R14,3/7/2015,2015,15.11,14
Melbourne,R14,4/7/2015,2015,9.6,14
North Melbourne,R14,4/7/2015,2015,10.1,14
Port Adelaide,R14,2/7/2015,2015,12.12,14
Richmond,R14,4/7/2015,2015,10.18,14
St Kilda,R14,5/7/2015,2015,25.12,14
Sydney,R14,2/7/2015,2015,14.1,14
West Coast,R14,4/7/2015,2015,16.18,14
Western Bulldogs,R14,4/7/2015,2015,9.1,14
Adelaide,R15,11/7/2015,2015,14.7,15
Brisbane Lions,R15,12/7/2015,2015,7.7,15
Carlton,R15,10/7/2015,2015,5.11,15
Collingwood,R15,9/7/2015,2015,9.9,15
Essendon,R15,11/7/2015,2015,10.9,15
Fremantle,R15,12/7/2015,2015,6.7,15
Geelong,R15,11/7/2015,2015,11.13,15
Gold Coast,R15,11/7/2015,2015,11.7,15
Greater Western Sydney,R15,12/7/2015,2015,12.12,15
Hawthorn,R15,12/7/2015,2015,17.13,15
Melbourne,R15,11/7/2015,2015,7.18,15
North Melbourne,R15,11/7/2015,2015,18.12,15
Port Adelaide,R15,9/7/2015,2015,9.12,15
Richmond,R15,10/7/2015,2015,10.11,15
St Kilda,R15,12/7/2015,2015,6.13,15
Sydney,R15,12/7/2015,2015,10.1,15
West Coast,R15,11/7/2015,2015,22.15,15
Western Bulldogs,R15,11/7/2015,2015,14.11,15
Adelaide,R16,19/7/2015,2015,18.8,16
Brisbane Lions,R16,19/7/2015,2015,4.12,16
Carlton,R16,18/7/2015,2015,8.5,16
Collingwood,R16,18/7/2015,2015,7.14,16
Essendon,R16,17/7/2015,2015,9.14,16
Fremantle,R16,18/7/2015,2015,13.17,16
Geelong,R16,18/7/2015,2015,10.12,16
Gold Coast,R16,18/7/2015,2015,12.7,16
Greater Western Sydney,R16,18/7/2015,2015,13.16,16
Hawthorn,R16,18/7/2015,2015,23.8,16
Melbourne,R16,19/7/2015,2015,8.12,16
North Melbourne,R16,17/7/2015,2015,14.9,16
Port Adelaide,R16,19/7/2015,2015,17.11,16
Richmond,R16,19/7/2015,2015,13.11,16
St Kilda,R16,19/7/2015,2015,10.13,16
Sydney,R16,18/7/2015,2015,7.15,16
West Coast,R16,18/7/2015,2015,11.21,16
Western Bulldogs,R16,18/7/2015,2015,9.1,16
Adelaide,R17,25/7/2015,2015,19.11,17
Brisbane Lions,R17,25/7/2015,2015,5.8,17
Carlton,R17,24/7/2015,2015,4.11,17
Collingwood,R17,26/7/2015,2015,13.8,17
Essendon,R17,25/7/2015,2015,17.14,17
Fremantle,R17,25/7/2015,2015,12.1,17
Geelong,R17,25/7/2015,2015,9.15,17
Gold Coast,R17,25/7/2015,2015,12.8,17
Greater Western Sydney,R17,25/7/2015,2015,6.6,17
Hawthorn,R17,24/7/2015,2015,27.11,17
Melbourne,R17,26/7/2015,2015,6.1,17
North Melbourne,R17,25/7/2015,2015,16.14,17
Port Adelaide,R17,25/7/2015,2015,20.9,17
Richmond,R17,25/7/2015,2015,10.18,17
St Kilda,R17,26/7/2015,2015,12.11,17
Sydney,R17,26/7/2015,2015,7.9,17
West Coast,R17,26/7/2015,2015,15.13,17
Western Bulldogs,R17,26/7/2015,2015,15.14,17
Adelaide,R18,1/8/2015,2015,9.11,18
Brisbane Lions,R18,1/8/2015,2015,8.9,18
Carlton,R18,1/8/2015,2015,8.6,18
Collingwood,R18,1/8/2015,2015,7.12,18
Essendon,R18,2/8/2015,2015,5.1,18
Fremantle,R18,2/8/2015,2015,12.12,18
Geelong,R18,1/8/2015,2015,17.11,18
Gold Coast,R18,1/8/2015,2015,12.11,18
Greater Western Sydney,R18,2/8/2015,2015,9.9,18
Hawthorn,R18,31/7/2015,2015,7.11,18
Melbourne,R18,1/8/2015,2015,13.13,18
North Melbourne,R18,1/8/2015,2015,18.1,18
Port Adelaide,R18,2/8/2015,2015,17.1,18
Richmond,R18,31/7/2015,2015,10.11,18
St Kilda,R18,2/8/2015,2015,6.13,18
Sydney,R18,1/8/2015,2015,17.15,18
West Coast,R18,1/8/2015,2015,11.17,18
Western Bulldogs,R18,2/8/2015,2015,19.13,18
Adelaide,R19,7/8/2015,2015,11.22,19
Brisbane Lions,R19,8/8/2015,2015,14.16,19
Carlton,R19,8/8/2015,2015,13.9,19
Collingwood,R19,8/8/2015,2015,16.9,19
Essendon,R19,9/8/2015,2015,8.13,19
Fremantle,R19,9/8/2015,2015,15.6,19
Geelong,R19,8/8/2015,2015,14.11,19
Gold Coast,R19,8/8/2015,2015,17.12,19
Greater Western Sydney,R19,9/8/2015,2015,14.9,19
Hawthorn,R19,8/8/2015,2015,13.1,19
Melbourne,R19,9/8/2015,2015,14.8,19
North Melbourne,R19,9/8/2015,2015,19.13,19
Port Adelaide,R19,8/8/2015,2015,9.1,19
Richmond,R19,7/8/2015,2015,8.4,19
St Kilda,R19,9/8/2015,2015,8.11,19
Sydney,R19,8/8/2015,2015,9.9,19
West Coast,R19,8/8/2015,2015,11.8,19
Western Bulldogs,R19,8/8/2015,2015,19.14,19
Adelaide,R20,15/8/2015,2015,27.9,20
Brisbane Lions,R20,15/8/2015,2015,20.11,20
Carlton,R20,15/8/2015,2015,9.13,20
Collingwood,R20,14/8/2015,2015,10.16,20
Essendon,R20,15/8/2015,2015,8.11,20
Fremantle,R20,16/8/2015,2015,11.14,20
Geelong,R20,15/8/2015,2015,12.13,20
Gold Coast,R20,16/8/2015,2015,8.7,20
Greater Western Sydney,R20,15/8/2015,2015,13.12,20
Hawthorn,R20,15/8/2015,2015,19.7,20
Melbourne,R20,16/8/2015,2015,8.7,20
North Melbourne,R20,15/8/2015,2015,18.12,20
Port Adelaide,R20,15/8/2015,2015,16.15,20
Richmond,R20,16/8/2015,2015,22.6,20
St Kilda,R20,15/8/2015,2015,11.17,20
Sydney,R20,14/8/2015,2015,13.9,20
West Coast,R20,16/8/2015,2015,15.14,20
Western Bulldogs,R20,16/8/2015,2015,24.9,20
Adelaide,R21,22/8/2015,2015,20.11,21
Brisbane Lions,R21,22/8/2015,2015,6.8,21
Carlton,R21,23/8/2015,2015,12.6,21
Collingwood,R21,22/8/2015,2015,7.14,21
Essendon,R21,22/8/2015,2015,14.11,21
Fremantle,R21,23/8/2015,2015,12.11,21
Geelong,R21,22/8/2015,2015,15.7,21
Gold Coast,R21,22/8/2015,2015,14.13,21
Greater Western Sydney,R21,22/8/2015,2015,6.8,21
Hawthorn,R21,21/8/2015,2015,13.8,21
Melbourne,R21,23/8/2015,2015,7.13,21
North Melbourne,R21,23/8/2015,2015,14.1,21
Port Adelaide,R21,21/8/2015,2015,16.12,21
Richmond,R21,22/8/2015,2015,23.9,21
St Kilda,R21,22/8/2015,2015,14.13,21
Sydney,R21,22/8/2015,2015,20.13,21
West Coast,R21,23/8/2015,2015,25.12,21
Western Bulldogs,R21,23/8/2015,2015,13.7,21
Adelaide,R22,30/8/2015,2015,19.12,22
Brisbane Lions,R22,29/8/2015,2015,9.8,22
Carlton,R22,29/8/2015,2015,7.9,22
Collingwood,R22,28/8/2015,2015,17.8,22
Essendon,R22,29/8/2015,2015,7.5,22
Fremantle,R22,30/8/2015,2015,17.6,22
Geelong,R22,28/8/2015,2015,9.8,22
Gold Coast,R22,29/8/2015,2015,7.9,22
Greater Western Sydney,R22,29/8/2015,2015,20.12,22
Hawthorn,R22,29/8/2015,2015,21.8,22
Melbourne,R22,30/8/2015,2015,8.6,22
North Melbourne,R22,29/8/2015,2015,10.13,22
Port Adelaide,R22,29/8/2015,2015,12.16,22
Richmond,R22,29/8/2015,2015,10.14,22
St Kilda,R22,30/8/2015,2015,4.14,22
Sydney,R22,30/8/2015,2015,20.15,22
West Coast,R22,30/8/2015,2015,10.9,22
Western Bulldogs,R22,29/8/2015,2015,14.12,22
Adelaide,R23,5/9/2015,2015,11.14,23
Brisbane Lions,R23,5/9/2015,2015,19.16,23
Carlton,R23,5/9/2015,2015,8.8,23
Collingwood,R23,6/9/2015,2015,14.8,23
Essendon,R23,6/9/2015,2015,14.11,23
Fremantle,R23,5/9/2015,2015,8.5,23
Geelong,R23,5/9/2015,2015,17.17,23
Gold Coast,R23,5/9/2015,2015,9.1,23
Greater Western Sydney,R23,6/9/2015,2015,11.11,23
Hawthorn,R23,5/9/2015,2015,17.11,23
Melbourne,R23,6/9/2015,2015,15.13,23
North Melbourne,R23,4/9/2015,2015,10.7,23
Port Adelaide,R23,5/9/2015,2015,18.14,23
Richmond,R23,4/9/2015,2015,16.12,23
St Kilda,R23,5/9/2015,2015,4.6,23
Sydney,R23,5/9/2015,2015,19.13,23
West Coast,R23,5/9/2015,2015,18.17,23
Western Bulldogs,R23,5/9/2015,2015,19.8,23
Adelaide,EF,12/9/2015,2015,16.13,25
North Melbourne,EF,13/9/2015,2015,15.15,25
Richmond,EF,13/9/2015,2015,14.4,25
Western Bulldogs,EF,12/9/2015,2015,14.18,25
Fremantle,QF,12/9/2015,2015,10.9,26
Hawthorn,QF,11/9/2015,2015,9.1,26
Sydney,QF,12/9/2015,2015,7.18,26
West Coast,QF,11/9/2015,2015,14.12,26
Adelaide,SF,18/9/2015,2015,8.13,27
Hawthorn,SF,18/9/2015,2015,21.9,27
North Melbourne,SF,19/9/2015,2015,11.11,27
Sydney,SF,19/9/2015,2015,7.9,27
Fremantle,PF,25/9/2015,2015,10.7,28
Hawthorn,PF,25/9/2015,2015,15.4,28
North Melbourne,PF,26/9/2015,2015,7.13,28
West Coast,PF,26/9/2015,2015,10.2,28
Hawthorn,GF,3/10/2015,2015,16.11,29
West Coast,GF,3/10/2015,2015,8.13,29
Adelaide,R1,26/3/2016,2016,14.13,1
Brisbane Lions,R1,27/3/2016,2016,15.12,1
Carlton,R1,24/3/2016,2016,12.11,1
Collingwood,R1,26/3/2016,2016,7.11,1
Essendon,R1,26/3/2016,2016,9.6,1
Fremantle,R1,27/3/2016,2016,5.8,1
Geelong,R1,28/3/2016,2016,18.8,1
Gold Coast,R1,26/3/2016,2016,17.19,1
Greater Western Sydney,R1,26/3/2016,2016,10.18,1
Hawthorn,R1,28/3/2016,2016,12.14,1
Melbourne,R1,26/3/2016,2016,12.8,1
North Melbourne,R1,26/3/2016,2016,16.11,1
Port Adelaide,R1,27/3/2016,2016,20.13,1
Richmond,R1,24/3/2016,2016,14.8,1
St Kilda,R1,27/3/2016,2016,15.1,1
Sydney,R1,26/3/2016,2016,18.25,1
West Coast,R1,27/3/2016,2016,26.1,1
Western Bulldogs,R1,27/3/2016,2016,15.13,1
Adelaide,R2,2/4/2016,2016,22.12,2
Brisbane Lions,R2,2/4/2016,2016,11.17,2
Carlton,R2,3/4/2016,2016,10.11,2
Collingwood,R2,1/4/2016,2016,13.9,2
Essendon,R2,2/4/2016,2016,11.14,2
Fremantle,R2,2/4/2016,2016,14.16,2
Geelong,R2,3/4/2016,2016,11.1,2
Gold Coast,R2,2/4/2016,2016,19.12,2
Greater Western Sydney,R2,3/4/2016,2016,13.11,2
Hawthorn,R2,3/4/2016,2016,14.15,2
Melbourne,R2,2/4/2016,2016,10.7,2
North Melbourne,R2,2/4/2016,2016,17.15,2
Port Adelaide,R2,2/4/2016,2016,11.2,2
Richmond,R2,1/4/2016,2016,12.14,2
St Kilda,R2,2/4/2016,2016,5.6,2
Sydney,R2,3/4/2016,2016,20.11,2
West Coast,R2,3/4/2016,2016,7.11,2
Western Bulldogs,R2,2/4/2016,2016,13.15,2
Adelaide,R3,9/4/2016,2016,19.14,3
Brisbane Lions,R3,10/4/2016,2016,7.14,3
Carlton,R3,9/4/2016,2016,5.11,3
Collingwood,R3,9/4/2016,2016,14.6,3
Essendon,R3,8/4/2016,2016,7.9,3
Fremantle,R3,9/4/2016,2016,8.11,3
Geelong,R3,10/4/2016,2016,18.17,3
Gold Coast,R3,9/4/2016,2016,13.17,3
Greater Western Sydney,R3,9/4/2016,2016,10.8,3
Hawthorn,R3,10/4/2016,2016,14.9,3
Melbourne,R3,10/4/2016,2016,20.11,3
North Melbourne,R3,10/4/2016,2016,21.1,3
Port Adelaide,R3,8/4/2016,2016,17.1,3
Richmond,R3,9/4/2016,2016,13.14,3
St Kilda,R3,9/4/2016,2016,18.11,3
Sydney,R3,9/4/2016,2016,14.9,3
West Coast,R3,9/4/2016,2016,12.2,3
Western Bulldogs,R3,10/4/2016,2016,13.12,3
Adelaide,R4,16/4/2016,2016,16.17,4
Brisbane Lions,R4,16/4/2016,2016,14.23,4
Carlton,R4,16/4/2016,2016,7.7,4
Collingwood,R4,17/4/2016,2016,9.13,4
Essendon,R4,16/4/2016,2016,6.6,4
Fremantle,R4,17/4/2016,2016,14.17,4
Geelong,R4,16/4/2016,2016,9.18,4
Gold Coast,R4,16/4/2016,2016,14.1,4
Greater Western Sydney,R4,17/4/2016,2016,22.19,4
Hawthorn,R4,16/4/2016,2016,13.9,4
Melbourne,R4,17/4/2016,2016,16.6,4
North Melbourne,R4,17/4/2016,2016,20.12,4
Port Adelaide,R4,17/4/2016,2016,9.11,4
Richmond,R4,15/4/2016,2016,9.3,4
St Kilda,R4,16/4/2016,2016,13.6,4
Sydney,R4,16/4/2016,2016,15.13,4
West Coast,R4,15/4/2016,2016,18.17,4
Western Bulldogs,R4,16/4/2016,2016,13.7,4
Adelaide,R5,22/4/2016,2016,17.7,5
Brisbane Lions,R5,23/4/2016,2016,10.7,5
Carlton,R5,24/4/2016,2016,10.12,5
Collingwood,R5,25/4/2016,2016,22.1,5
Essendon,R5,25/4/2016,2016,11.7,5
Fremantle,R5,24/4/2016,2016,9.14,5
Geelong,R5,23/4/2016,2016,16.11,5
Gold Coast,R5,23/4/2016,2016,11.15,5
Greater Western Sydney,R5,24/4/2016,2016,19.12,5
Hawthorn,R5,22/4/2016,2016,17.1,5
Melbourne,R5,24/4/2016,2016,20.9,5
North Melbourne,R5,23/4/2016,2016,18.11,5
Port Adelaide,R5,23/4/2016,2016,8.11,5
Richmond,R5,24/4/2016,2016,14.12,5
St Kilda,R5,24/4/2016,2016,12.7,5
Sydney,R5,23/4/2016,2016,12.16,5
West Coast,R5,23/4/2016,2016,7.7,5
Western Bulldogs,R5,23/4/2016,2016,17.18,5
Adelaide,R6,30/4/2016,2016,14.13,6
Brisbane Lions,R6,1/5/2016,2016,14.1,6
Carlton,R6,1/5/2016,2016,10.12,6
Collingwood,R6,1/5/2016,2016,9.8,6
